"id","labels","allProperties"
"0","[""Artist""]","{""name"":""Casual"",""artist_id"":""ARD7TVE1187B99BFB1""}"
"1","[""Artist""]","{""name"":""The Box Tops"",""artist_id"":""ARMJAGH1187FB546F3""}"
"2","[""Artist""]","{""name"":""Sonora Santanera"",""artist_id"":""ARKRRTF1187B9984DA""}"
"3","[""Artist""]","{""name"":""Adam Ant"",""artist_id"":""AR7G5I41187FB4CE6C""}"
"4","[""Artist""]","{""name"":""Gob"",""artist_id"":""ARXR32B1187FB57099""}"
"5","[""Artist""]","{""name"":""Jeff And Sheri Easter"",""artist_id"":""ARKFYS91187B98E58F""}"
"6","[""Artist""]","{""name"":""Rated R"",""artist_id"":""ARD0S291187B9B7BF5""}"
"7","[""Artist""]","{""name"":""Tweeterfriendly Music"",""artist_id"":""AR10USD1187B99F3F1""}"
"8","[""Artist""]","{""name"":""Planet P Project"",""artist_id"":""AR8ZCNI1187B9A069B""}"
"9","[""Artist""]","{""name"":""Clp"",""artist_id"":""ARNTLGG11E2835DDB9""}"
"10","[""Artist""]","{""name"":""JennyAnyKind"",""artist_id"":""ARGSJW91187B9B1D6B""}"
"11","[""Artist""]","{""name"":""Wayne Watson"",""artist_id"":""ARC43071187B990240""}"
"12","[""Artist""]","{""name"":""Andy Andy"",""artist_id"":""ARL7K851187B99ACD2""}"
"13","[""Artist""]","{""name"":""Bob Azzam"",""artist_id"":""ARHHO3O1187B989413""}"
"14","[""Artist""]","{""name"":""Lionel Richie"",""artist_id"":""ARIK43K1187B9AE54C""}"
"15","[""Artist""]","{""name"":""Blue Rodeo"",""artist_id"":""ARD842G1187B997376""}"
"16","[""Artist""]","{""name"":""Richard Souther"",""artist_id"":""ARIG6O41187B988BDD""}"
"17","[""Artist""]","{""name"":""Faiz Ali Faiz"",""artist_id"":""AR1ZHYZ1187FB3C717""}"
"18","[""Artist""]","{""name"":""Tesla"",""artist_id"":""ARYKCQI1187FB3B18F""}"
"19","[""Artist""]","{""name"":""lextrical"",""artist_id"":""ARNPAGP1241B9C7FD4""}"
"20","[""Artist""]","{""name"":""Jimmy Wakely"",""artist_id"":""ARQGYP71187FB44566""}"
"21","[""Artist""]","{""name"":""Alice Stuart"",""artist_id"":""ARI3BMM1187FB4255E""}"
"22","[""Artist""]","{""name"":""Elena"",""artist_id"":""AR5KOSW1187FB35FF4""}"
"24","[""Artist""]","{""name"":""SUE THOMPSON"",""artist_id"":""AR47JEX1187B995D81""}"
"25","[""Artist""]","{""name"":""Five Bolt Main"",""artist_id"":""ARGIWFO1187B9B55B7""}"
"26","[""Album""]","{""name"":""Fear Itself""}"
"27","[""Artist""]","{""name"":""Tim Wilson"",""artist_id"":""ARDNS031187B9924F0""}"
"28","[""Artist""]","{""name"":""Willie Bobo"",""artist_id"":""AROUOZZ1187B9ABE51""}"
"29","[""Artist""]","{""name"":""Faye Adams"",""artist_id"":""ARH4Z031187B9A71F2""}"
"30","[""Artist""]","{""name"":""Terry Callier"",""artist_id"":""ARB29H41187B98F0EF""}"
"31","[""Artist""]","{""name"":""John Wesley"",""artist_id"":""AR1Y2PT1187FB5B9CE""}"
"33","[""Artist""]","{""name"":""Billie Jo Spears"",""artist_id"":""AR0RCMP1187FB3F427""}"
"35","[""Song""]","{""created"":1706476415809,""name"":""Office Hours""}"
"36","[""Artist""]","{""name"":""Butthole Surfers"",""artist_id"":""ARPQ4Z01187FB3A736""}"
"37","[""Artist""]","{""name"":""Despina Vandi"",""artist_id"":""ARNQAVF11F4C844C04""}"
"38","[""Artist""]","{""name"":""Javier Navarrete"",""artist_id"":""ARXUT4W1187FB48BEB""}"
"39","[""Artist""]","{""name"":""Jacob Young"",""artist_id"":""ARDD1RC1187B9B52B4""}"
"40","[""Artist""]","{""name"":""Scarlet's Remains"",""artist_id"":""ARLGWFM1187FB4AC9F""}"
"41","[""Artist""]","{""name"":""The Suicide Machines"",""artist_id"":""ARWYVP51187B98C516""}"
"42","[""Artist""]","{""name"":""The Rolling Stones"",""artist_id"":""ARFCUN31187B9AD578""}"
"43","[""Artist""]","{""name"":""Roberto Torres"",""artist_id"":""AR6YDKV1187B989230""}"
"44","[""Artist""]","{""name"":""Loudon Wainwright III"",""artist_id"":""ARV1JVD1187B9AD195""}"
"45","[""Artist""]","{""name"":""R.L. Burnside"",""artist_id"":""AR7TTS41187B9B42D3""}"
"46","[""Artist""]","{""name"":""Stevie Ray Vaughan"",""artist_id"":""ART3O5Z1187B9AB043""}"
"47","[""Artist""]","{""name"":""John Hammond"",""artist_id"":""AR5U94U1187FB5CDCF""}"
"48","[""Artist""]","{""name"":""Casiotone For The Painfully Alone"",""artist_id"":""ARRJNTE1187FB44E12""}"
"49","[""Artist""]","{""name"":""Ec8or"",""artist_id"":""AR6IRG41187B9A4D98""}"
"50","[""Job""]","{""name"":""Tehnologie și Informatică""}"
"51","[""Artist""]","{""name"":""Eliane Elias"",""artist_id"":""ARGMXQW1187FB54C34""}"
"52","[""Artist""]","{""name"":""Lost Boyz"",""artist_id"":""AROEL1B1187B988B90""}"
"53","[""Artist""]","{""name"":""The Germs"",""artist_id"":""AR8W8DN1187FB35ED0""}"
"54","[""Job""]","{""name"":""Sănătate și Medicină""}"
"55","[""Job""]","{""name"":""Inginerie""}"
"56","[""Artist""]","{""name"":""Perrey And Kingsley"",""artist_id"":""ARINEWW1187FB5577E""}"
"57","[""Artist""]","{""name"":""Eurythmics"",""artist_id"":""ARDGB6U1187FB3AD07""}"
"58","[""Artist""]","{""name"":""Francis Dunnery"",""artist_id"":""AR2J2WF1187FB46271""}"
"59","[""Artist""]","{""name"":""John Cale"",""artist_id"":""ARUI8651187B9ACF52""}"
