"startNodeId","endNodeId","relationshipType","allProperties"
"0","10000","OWNS","{}"
"190","4251","LOCATED_IN","{}"
"190","4703","HAS_HOMETOWN","{}"
"190","1403","LIKES","{}"
"190","3","LIKES","{}"
"244","4251","LOCATED_IN","{}"
"244","4703","HAS_HOMETOWN","{}"
"244","11","LIKES","{}"
"1","10001","OWNS","{}"
"6747","35","OWNS","{}"
"2","10002","OWNS","{}"
"288","5908","LOCATED_IN","{}"
"288","5908","HAS_HOMETOWN","{}"
"288","27","LIKES","{}"
"3","10003","OWNS","{}"
"288","50","WORKS_AS","{}"
"4","10004","OWNS","{}"
"5","10005","OWNS","{}"
"1026","4828","LOCATED_IN","{}"
"1026","4703","HAS_HOMETOWN","{}"
"1026","6747","LIKES","{""created"":1.705245073E12}"
"6","10006","OWNS","{}"
"7","10007","OWNS","{}"
"1026","1403","LIKES","{""created"":1.705245059E12}"
"8","10008","OWNS","{}"
"9","10009","OWNS","{}"
"10","10010","OWNS","{}"
"11","10011","OWNS","{}"
"12","10012","OWNS","{}"
"13","10013","OWNS","{}"
"14","10014","OWNS","{}"
"16","10016","OWNS","{}"
"17","10017","OWNS","{}"
"18","10018","OWNS","{}"
"19","10019","OWNS","{}"
"20","10020","OWNS","{}"
"21","10021","OWNS","{}"
"22","10022","OWNS","{}"
"9138","10023","OWNS","{}"
"24","10024","OWNS","{}"
"25","10025","OWNS","{}"
"9","10026","OWNS","{}"
"27","10027","OWNS","{}"
"29","10029","OWNS","{}"
"30","10030","OWNS","{}"
"31","10031","OWNS","{}"
"1026","2600","LIKES","{""created"":1706998854729}"
"7506","10032","OWNS","{}"
"33","10033","OWNS","{}"
"1026","8192","DISLIKES","{""created"":1706998862712}"
"1026","8535","DISLIKES","{""created"":1706998868953}"
"1026","1933","LIKES","{""created"":1706998876085}"
"1026","50","WORKS_AS","{}"
"8443","10034","OWNS","{}"
"4098","10035","OWNS","{}"
"36","10036","OWNS","{}"
"37","10037","OWNS","{}"
"38","10038","OWNS","{}"
"39","10039","OWNS","{}"
"40","10040","OWNS","{}"
"41","10041","OWNS","{}"
"42","10042","OWNS","{}"
"43","10043","OWNS","{}"
"44","10044","OWNS","{}"
"45","10045","OWNS","{}"
"46","10046","OWNS","{}"
"47","10047","OWNS","{}"
"48","10048","OWNS","{}"
"49","10049","OWNS","{}"
"3377","10050","OWNS","{}"
"51","10051","OWNS","{}"
"52","10052","OWNS","{}"
"53","10053","OWNS","{}"
"2014","10054","OWNS","{}"
"2745","10055","OWNS","{}"
"56","10056","OWNS","{}"
"57","10057","OWNS","{}"
"58","10058","OWNS","{}"
"59","10059","OWNS","{}"
"60","10060","OWNS","{}"
"61","10061","OWNS","{}"
"62","10062","OWNS","{}"
"63","10063","OWNS","{}"
"64","10064","OWNS","{}"
"65","10065","OWNS","{}"
"66","10066","OWNS","{}"
"67","10067","OWNS","{}"
"68","10068","OWNS","{}"
"69","10069","OWNS","{}"
"70","10070","OWNS","{}"
"71","10071","OWNS","{}"
"72","10072","OWNS","{}"
"73","10073","OWNS","{}"
"75","10075","OWNS","{}"
"76","10076","OWNS","{}"
"77","10077","OWNS","{}"
"78","10078","OWNS","{}"
"79","10079","OWNS","{}"
"80","10080","OWNS","{}"
"81","10081","OWNS","{}"
"82","10082","OWNS","{}"
"83","10083","OWNS","{}"
"7040","10084","OWNS","{}"
"85","10085","OWNS","{}"
"86","10086","OWNS","{}"
"87","10087","OWNS","{}"
"3699","10088","OWNS","{}"
"89","10089","OWNS","{}"
"90","10090","OWNS","{}"
"91","10091","OWNS","{}"
"92","10092","OWNS","{}"
"93","10093","OWNS","{}"
"94","10094","OWNS","{}"
"95","10095","OWNS","{}"
"96","10096","OWNS","{}"
"97","10097","OWNS","{}"
"98","10098","OWNS","{}"
"99","10099","OWNS","{}"
"100","10100","OWNS","{}"
"101","10101","OWNS","{}"
"102","10102","OWNS","{}"
"103","10103","OWNS","{}"
"4364","10104","OWNS","{}"
"5622","10105","OWNS","{}"
"106","10106","OWNS","{}"
"107","10107","OWNS","{}"
"108","10108","OWNS","{}"
"109","10109","OWNS","{}"
"110","10110","OWNS","{}"
"111","10111","OWNS","{}"
"112","10112","OWNS","{}"
"113","10113","OWNS","{}"
"114","10114","OWNS","{}"
"115","10115","OWNS","{}"
"116","10116","OWNS","{}"
"117","10117","OWNS","{}"
"118","10118","OWNS","{}"
"119","10119","OWNS","{}"
"6799","10120","OWNS","{}"
"121","10121","OWNS","{}"
"122","10122","OWNS","{}"
"123","10123","OWNS","{}"
"124","10124","OWNS","{}"
"125","10125","OWNS","{}"
"127","10127","OWNS","{}"
"128","10128","OWNS","{}"
"129","10129","OWNS","{}"
"130","10130","OWNS","{}"
"131","10131","OWNS","{}"
"132","10132","OWNS","{}"
"133","10133","OWNS","{}"
"134","10134","OWNS","{}"
"135","10135","OWNS","{}"
"136","10136","OWNS","{}"
"137","10137","OWNS","{}"
"138","10138","OWNS","{}"
"139","10139","OWNS","{}"
"140","10140","OWNS","{}"
"141","10141","OWNS","{}"
"142","10142","OWNS","{}"
"143","10143","OWNS","{}"
"144","10144","OWNS","{}"
"145","10145","OWNS","{}"
